Approach,Method,Language,rouge_1,rouge_2,rouge_L,avg_rouge,precision,recall,f1
extractive,ReductionSummarizer,ukrainian,0.16,0.05,0.14,0.12,0.89,0.89,0.89
extractive,SumBasicSummarizer,ukrainian,0.08,0.01,0.07,0.05,0.89,0.89,0.89
extractive,LexRankSummarizer,ukrainian,0.13,0.04,0.11,0.09,0.89,0.89,0.89
extractive,LuhnSummarizer,ukrainian,0.14,0.05,0.12,0.1,0.89,0.89,0.89
extractive,TextRankSummarizer,ukrainian,0.16,0.06,0.14,0.12,0.89,0.89,0.89
extractive,RandomSummarizer,ukrainian,0.09,0.03,0.08,0.07,0.89,0.88,0.88
extractive,LsaSummarizer,ukrainian,0.09,0.03,0.08,0.07,0.89,0.89,0.89
extractive,KLSummarizer,ukrainian,0.1,0.03,0.09,0.07,0.89,0.89,0.89
extractive,EdmundsonSummarizer,ukrainian,0.14,0.05,0.12,0.1,0.9,0.9,0.9
